1 0 0.9383 0.07109 -0.114056 1.03459 5.50908 0.477519 19.1518 -1
1 1 0.9383 0.031998 0.075965 0.976491 5.30166 0.782808 18.2728 -1
1 0 0.9383 0.033279 0.089266 0.900055 5.89908 1.09152 19.5322 -1
1 0 0.9383 0.283725 -0.019715 1.14864 4.22457 0.422405 18.0342 -2
1 1 0.9383 0.027912 0.032802 0.865591 5.29422 0.534231 18.5569 -1
1 0 0.9383 0.13644 0.038989 0.996678 5.77237 0.149954 18.6075 -1
1 1 0.9383 -0.019247 0.169887 1.07047 4.70272 1.06547 18.7747 -3
1 1 0.9383 0.05699 -0.015638 0.859677 5.63858 0.873274 18.3266 -1
1 1 0.9383 0.030496 -0.052035 0.926151 4.52007 0.415763 18.2935 -1
1 1 0.9383 -0.037749 0.000796 1.14562 5.56666 -0.122701 18.2312 4
1 0 0.9383 -0.003247 0.096879 1.13464 5.46199 1.54192 19.0135 -1
