pi0_count	pi+_count	kaon0_count	kaon+_count	proton_count	neutron_count
pi0_mass	pi+_mass	kaon0_mass	kaon+_mass	proton_mass	neutron_mass
pi0_pt	pi+_pt	kaon0_pt	kaon+_pt	proton_pt	neutron_pt
0.357188 0.359653 0 0.489263 0.224049 0.178408
509 485 0 49 193 253
0.135004 0.139607 0 0.493596 0.939343 0.93981
0.33779 0.350174 0 0.517427 0.189427 0.176418
516 479 0 47 191 253
0.134998 0.139599 0 0.493594 0.939344 0.939823
0.341507 0.377826 0 0.481615 0.198918 0.175202
522 441 0 59 188 248
0.135 0.1396 0 0.4936 0.939365 0.939822
0.354523 0.364775 0 0.538272 0.204231 0.181331
335 331 0 37 181 243
0.135003 0.1396 0 0.4936 0.939524 0.939865
0.350157 0.360018 0 0.466591 0.120655 0.117344
670 582 0 67 203 264
0.135002 0.139604 0 0.493601 0.939214 0.9398
0.327589 0.387484 0 0.451646 0.23377 0.193334
610 510 0 68 210 238
0.134996 0.139599 0 0.4936 0.939167 0.939819
0.323876 0.373292 0 0.484785 0.231967 0.170867
697 611 0 73 203 243
0.134992 0.139596 0 0.4936 0.939113 0.939808
0.350052 0.379063 0 0.499681 0.315612 0.181827
556 503 0 64 193 258
0.135 0.1396 0 0.493599 0.939265 0.939821
0.34942 0.354991 0 0.565018 0.249987 0.153144
639 534 0 45 203 257
0.135 0.139596 0 0.493601 0.939226 0.939813
0.339541 0.383486 0 0.392805 0.23881 0.174865
544 477 0 59 197 259
0.134999 0.139598 0 0.493604 0.939312 0.939809
0.369179 0.402069 0 0.452781 0.194685 0.173411
368 336 0 41 184 241
0.134998 0.139606 0 0.493612 0.939379 0.93986
0.358959 0.377876 0 0.434815 0.160514 0.124427
527 479 0 62 198 252
0.134998 0.139598 0 0.493599 0.939365 0.939828
0.334367 0.376492 0 0.439985 0.204459 0.181352
516 405 0 55 189 242
0.135 0.139602 0 0.4936 0.939413 0.939833
0.35229 0.363772 0 0.413356 0.177629 0.163382
697 608 0 77 181 281
0.135003 0.139601 0 0.493598 0.939167 0.939766
0.32404 0.378171 0 0.468734 0.296428 0.209719
582 526 0 56 196 254
0.134997 0.139598 0 0.4936 0.939295 0.939801
0.328428 0.373225 0 0.512925 0.205065 0.211699
396 340 0 31 185 241
0.135002 0.139604 0 0.493581 0.93943 0.939838
0.334028 0.373357 0 0.477012 0.190636 0.123255
395 350 0 20 197 236
0.134994 0.139598 0 0.493601 0.939356 0.939856
0.325448 0.335231 0 0.41558 0.203497 0.0965552
509 474 0 58 191 257
0.135002 0.139596 0 0.4936 0.939348 0.939808
0.326125 0.348048 0 0.350405 0.213483 0.173513
571 501 0 55 194 251
0.135001 0.139599 0 0.493601 0.939285 0.939827
0.347173 0.364234 0 0.389122 0.179849 0.149136
457 384 0 51 183 254
0.135002 0.139598 0 0.493598 0.939372 0.939816
0.335056 0.387558 0 0.4015 0.177009 0.128999
464 435 0 50 188 256
0.134998 0.139601 0 0.4936 0.939339 0.939827
0.329053 0.379586 0 0.483578 0.193337 0.144547
611 498 0 48 198 260
0.134997 0.139597 0 0.493587 0.939338 0.940532
0.326919 0.374008 0 0.481495 0.205619 0.198558
415 362 0 37 188 248
0.135002 0.139601 0 0.493601 0.939321 0.939858
0.318487 0.371774 0 0.453725 0.189409 0.123031
526 432 0 53 195 252
0.134997 0.139598 0 0.493595 0.939286 0.939826
0.34739 0.385125 0 0.387661 0.198692 0.164416
662 549 0 72 216 246
0.135003 0.139603 0 0.493594 0.939143 0.93979
0.361042 0.38396 0 0.45676 0.279769 0.236599
327 276 0 31 190 245
0.134998 0.1396 0 0.493599 0.939445 0.939855
0.343266 0.355553 0 0.503672 0.15636 0.12072
503 416 0 51 179 257
0.135002 0.139596 0 0.493604 0.939396 0.93983
0.330164 0.368778 0 0.5237 0.179911 0.169307
434 349 0 47 189 244
0.134995 0.139602 0 0.493601 0.939395 0.939852
0.331865 0.352329 0 0.388126 0.160119 0.127685
560 540 0 62 201 250
0.135001 0.139603 0 0.493601 0.93919 0.939824
0.353094 0.353725 0 0.575146 0.220642 0.16076
394 365 0 51 185 248
0.134996 0.139606 0 0.493604 0.939404 0.939849
0.338277 0.370172 0 0.562334 0.160157 0.15828
319 294 0 54 182 236
0.135001 0.139611 0 0.493598 0.939455 0.939865
0.341342 0.351821 0 0.494831 0.160213 0.0851417
495 450 0 52 190 266
0.134996 0.139602 0 0.493603 0.939289 0.93982
0.344932 0.360811 0 0.447325 0.181165 0.186665
591 519 0 57 198 262
0.135001 0.139597 0 0.4936 0.939266 0.939808
0.334065 0.350529 0 0.478011 0.216893 0.187749
629 540 0 77 205 248
0.135003 0.139597 0 0.4936 0.944502 0.939794
0.325697 0.353245 0 0.478979 0.253435 0.204317
